gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
7SK	hypermethylated	3	3	0	cg15925365,cg19701087,cg22486834
AADACL2-AS1	hypermethylated	1	1	0	cg20790648
ABCC9	hypermethylated	8	8	0	cg01085837,cg07780543,cg08530237,cg11901043,cg16846653,cg18556676,cg21485303,cg27555582
ABHD15-AS1	hypermethylated	1	1	0	cg16755500
ABL1	hypermethylated	1	1	0	cg13670057
ABLIM1	hypermethylated	1	1	0	cg04508114
ABLIM2	hypermethylated	1	1	0	cg17949969
ABR	hypermethylated	2	2	0	cg05648510,cg06237543
AC000403.1	hypermethylated	2	2	0	cg00931644,cg25968569
AC002066.1	hypermethylated	3	3	0	cg12739419,cg16260298,cg25274503
AC002464.1	hypermethylated	1	1	0	cg19980771
AC003006.1	hypermethylated	7	7	0	cg01268824,cg08668790,cg12506930,cg21790626,cg26465391,cg27049766,cg27324426
AC003986.1	hypermethylated	4	4	0	cg10477621,cg23536473,cg24624901,cg25691167
AC003986.2	hypermethylated	1	1	0	cg24496841
AC004079.1	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004079.2	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004079.4	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.5	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004080.1	hypermethylated	3	3	0	cg08637618,cg15564098,cg25160286
AC004080.3	hypermethylated	9	9	0	cg01381846,cg07778029,cg12600174,cg14625175,cg18447772,cg21001184,cg25999578,cg26476852,cg26521404
AC004080.6	hypermethylated	5	5	0	cg06942814,cg07317062,cg11015251,cg16651126,cg19142026
AC004147.2	hypermethylated	3	3	0	cg14603098,cg19942495,cg24613080
AC004147.4	hypermethylated	3	3	0	cg14603098,cg19942495,cg24613080
AC004408.2	hypermethylated	2	2	0	cg15790037,cg20555674
AC004803.1	hypermethylated	1	1	0	cg13333954
AC004828.2	hypermethylated	1	1	0	cg05111779
AC004837.1	hypermethylated	1	1	0	cg27071152
AC004837.3	hypermethylated	1	1	0	cg27071152
AC004974.1	hypermethylated	1	1	0	cg02058870
AC005229.4	hypermethylated	2	2	0	cg03789645,cg11109845
AC005520.2	hypermethylated	1	1	0	cg13158272
AC005586.1	hypermethylated	1	1	0	cg27494647
AC005597.1	hypermethylated	1	1	0	cg24708471
AC005606.2	hypermethylated	4	4	0	cg04514123,cg05915293,cg09229918,cg10022722
AC005609.1	hypermethylated	2	2	0	cg02051771,cg19876814
AC005609.5	hypermethylated	2	2	0	cg02004851,cg11095383
AC005622.1	hypermethylated	2	2	0	cg08669447,cg09489306
AC006058.2	hypermethylated	1	1	0	cg14858267
AC006115.2	hypermethylated	1	1	0	cg06585566
AC006450.2	hypermethylated	1	1	0	cg14425564
AC006511.4	hypermethylated	1	1	0	cg17509039
AC007040.2	hypermethylated	2	2	0	cg04751811,cg15165122
AC007222.2	hypermethylated	1	1	0	cg00590139
AC007223.1	hypermethylated	1	1	0	cg07849944
AC007271.1	hypermethylated	1	1	0	cg23611697
AC007391.3	hypermethylated	1	1	0	cg18790856
AC007402.1	hypermethylated	2	2	0	cg13594075,cg15646463
AC007405.1	hypermethylated	2	2	0	cg00860808,cg07813142
AC007405.2	hypermethylated	1	1	0	cg11281641
AC007461.1	hypermethylated	2	2	0	cg00482488,cg21000227
AC007541.1	hypermethylated	2	2	0	cg08817693,cg10082647
AC007601.1	hypermethylated	1	1	0	cg04635642
AC008012.1	hypermethylated	2	2	0	cg13391820,cg21462428
AC008060.3	hypermethylated	1	1	0	cg20183619
AC008397.2	hypermethylated	2	2	0	cg15215348,cg17861230
AC008443.3	hypermethylated	1	1	0	cg16027343
AC008481.3	hypermethylated	1	1	0	cg17478228
AC008525.1	hypermethylated	2	2	0	cg01764252,cg08850461
AC008543.1	hypermethylated	1	1	0	cg10608596
AC008567.2	hypermethylated	6	6	0	cg04062391,cg05221167,cg18452695,cg18568589,cg19254119,cg19544372
AC008649.1	hypermethylated	1	1	0	cg07501988
AC008750.2	hypermethylated	1	1	0	cg18563413
AC008758.1	hypermethylated	5	5	0	cg08411068,cg19926444,cg21298174,cg22637867,cg23989004
AC008763.4	hypermethylated	1	1	0	cg09772661
AC008808.1	hypermethylated	1	1	0	cg03847373
AC008875.2	hypermethylated	6	6	0	cg04223424,cg14979301,cg18161950,cg18323912,cg23052568,cg24676817
AC008875.3	hypermethylated	4	4	0	cg04223424,cg07137955,cg14979301,cg18323912
AC008945.2	hypermethylated	1	1	0	cg08626131
AC009065.1	hypermethylated	1	1	0	cg06235653
AC009292.1	hypermethylated	1	1	0	cg25903779
AC009292.2	hypermethylated	1	1	0	cg25903779
AC009487.1	hypermethylated	1	1	0	cg06382344
AC009487.2	hypermethylated	3	3	0	cg01419831,cg06382344,cg23161999
AC009531.1	hypermethylated	1	1	0	cg08732352
AC009562.1	hypermethylated	1	1	0	cg21394729
AC009570.2	hypermethylated	1	1	0	cg17075352
AC009779.3	hypermethylated	1	1	0	cg12926596
AC009879.3	hypermethylated	1	1	0	cg10635330
AC009951.6	hypermethylated	1	1	0	cg16405026
AC010198.2	hypermethylated	1	1	0	cg17037963
AC010327.2	hypermethylated	1	1	0	cg18417954
AC010327.4	hypermethylated	1	1	0	cg18417954
AC010332.3	hypermethylated	3	3	0	cg14582763,cg25763393,cg26928418
AC010420.1	hypermethylated	1	1	0	cg22961212
AC010422.3	hypermethylated	1	1	0	cg21535253
AC010422.6	hypermethylated	1	1	0	cg24932585
AC010457.1	hypermethylated	1	1	0	cg25224048
AC010478.1	hypermethylated	4	4	0	cg01587896,cg04068980,cg05501996,cg11711420
AC010519.1	hypermethylated	1	1	0	cg09243824
AC010907.1	hypermethylated	1	1	0	cg11857704
AC010931.2	hypermethylated	1	1	0	cg15480336
AC010997.3	hypermethylated	1	1	0	cg19950139
AC011239.2	hypermethylated	3	3	0	cg02338778,cg14067761,cg17419888
AC011246.1	hypermethylated	4	4	0	cg04175027,cg04178787,cg14657277,cg17080163
AC011396.2	hypermethylated	8	8	0	cg01142710,cg05781504,cg07353303,cg18032969,cg18274480,cg20755170,cg21214293,cg23174616
AC011450.1	hypermethylated	1	1	0	cg26289436
AC011452.1	hypermethylated	1	1	0	cg04315771
AC011474.1	hypermethylated	1	1	0	cg04711162
AC011474.2	hypermethylated	1	1	0	cg04711162
AC011509.2	hypermethylated	1	1	0	cg22914338
AC011511.5	hypermethylated	1	1	0	cg00389463
AC011603.3	hypermethylated	1	1	0	cg25950278
AC011632.1	hypermethylated	1	1	0	cg24349665
AC011815.2	hypermethylated	1	1	0	cg00487232
AC012101.2	hypermethylated	1	1	0	cg16171281
AC012349.1	hypermethylated	5	5	0	cg04127342,cg04598121,cg04612444,cg12877723,cg19414741
AC012354.7	hypermethylated	1	1	0	cg03714619
AC012354.9	hypermethylated	1	1	0	cg18969232
AC012485.1	hypermethylated	2	2	0	cg13530938,cg23497383
AC012508.1	hypermethylated	1	1	0	cg22830113
AC012508.2	hypermethylated	1	1	0	cg22830113
AC012508.3	hypermethylated	1	1	0	cg22830113
AC012531.1	hypermethylated	3	3	0	cg07080050,cg15772924,cg19164987
AC012531.2	hypermethylated	4	4	0	cg07080050,cg15772924,cg19164987,cg23697546
AC012531.3	hypermethylated	4	4	0	cg07080050,cg15772924,cg19164987,cg23697546
AC012531.7	hypermethylated	1	1	0	cg10641615
AC012574.1	hypermethylated	8	8	0	cg03079395,cg03694713,cg09618933,cg10603004,cg14428146,cg15854847,cg20892260,cg22747746
AC012574.2	hypermethylated	2	2	0	cg03079395,cg09618933
AC012613.1	hypermethylated	1	1	0	cg09651145
AC012613.2	hypermethylated	1	1	0	cg09651145
AC013477.1	hypermethylated	1	1	0	cg15410675
AC013733.2	hypermethylated	1	1	0	cg04299439
AC015845.2	hypermethylated	3	3	0	cg00734904,cg06817490,cg18347010
AC015908.7	hypermethylated	1	1	0	cg02025583
AC016168.2	hypermethylated	1	1	0	cg09777525
AC016168.3	hypermethylated	1	1	0	cg09777525
AC016292.1	hypermethylated	1	1	0	cg06237543
AC016526.4	hypermethylated	1	1	0	cg22916722
AC016582.3	hypermethylated	1	1	0	cg02663382
AC016595.1	hypermethylated	1	1	0	cg06060135
AC016831.6	hypermethylated	1	1	0	cg14343652
AC016876.2	hypermethylated	1	1	0	cg00004421
AC016877.3	hypermethylated	1	1	0	cg03301200
AC017033.1	hypermethylated	3	3	0	cg03287111,cg03465652,cg13713922
AC017048.1	hypermethylated	1	1	0	cg13661243
AC018358.1	hypermethylated	1	1	0	cg21821833
AC018637.1	hypermethylated	1	1	0	cg18961681
AC018730.1	hypermethylated	4	4	0	cg00778995,cg12573849,cg17912835,cg19513834
AC018755.3	hypermethylated	1	1	0	cg08461949
AC019068.1	hypermethylated	2	2	0	cg06546806,cg07014673
AC020907.2	hypermethylated	1	1	0	cg05247914
AC020907.5	hypermethylated	1	1	0	cg05247914
AC020911.2	hypermethylated	2	2	0	cg02381279,cg22732101
AC021092.1	hypermethylated	1	1	0	cg08684893
AC021127.1	hypermethylated	2	2	0	cg04343891,cg16117799
AC021594.1	hypermethylated	1	1	0	cg17039236
AC021594.2	hypermethylated	1	1	0	cg12212311
AC021739.2	hypermethylated	1	1	0	cg03442712
AC021739.3	hypermethylated	1	1	0	cg01954585
AC022031.2	hypermethylated	2	2	0	cg07519816,cg22232327
AC022098.1	hypermethylated	3	3	0	cg04416414,cg14565903,cg15417798
AC022384.1	hypermethylated	1	1	0	cg17978425
AC024563.1	hypermethylated	1	1	0	cg22340508
AC024563.2	hypermethylated	1	1	0	cg22340508
AC025034.1	hypermethylated	1	1	0	cg16962463
AC025048.1	hypermethylated	2	2	0	cg20370678,cg21158087
AC025062.2	hypermethylated	1	1	0	cg12174804
AC025062.3	hypermethylated	1	1	0	cg12174804
AC025171.1	hypermethylated	2	2	0	cg12319602,cg26437825
AC025171.3	hypermethylated	2	2	0	cg12319602,cg26437825
AC025188.1	hypermethylated	1	1	0	cg09059904
AC025287.1	hypermethylated	1	1	0	cg08092318
AC026310.1	hypermethylated	1	1	0	cg13980808
AC026310.2	hypermethylated	1	1	0	cg20399616
AC026316.4	hypermethylated	6	6	0	cg05937737,cg07766263,cg11145160,cg13879776,cg21154627,cg21884231
AC026470.2	hypermethylated	1	1	0	cg27319917
AC026471.6	hypermethylated	1	1	0	cg03100639
AC026691.1	hypermethylated	3	3	0	cg15613420,cg24628744,cg26214742
AC026774.1	hypermethylated	1	1	0	cg18877252
AC026904.2	hypermethylated	4	4	0	cg14095438,cg14907769,cg18991611,cg20527270
AC027290.1	hypermethylated	1	1	0	cg16953816
AC034187.1	hypermethylated	1	1	0	cg03557445
AC037459.1	hypermethylated	3	3	0	cg00920139,cg01710189,cg12137450
AC040977.2	hypermethylated	2	2	0	cg11235787,cg21040575
AC046158.1	hypermethylated	1	1	0	cg02748089
AC046185.3	hypermethylated	1	1	0	cg04918402
AC051619.3	hypermethylated	2	2	0	cg18582992,cg24033558
AC051635.1	hypermethylated	1	1	0	cg20026939
AC055788.2	hypermethylated	1	1	0	cg22052659
AC055860.1	hypermethylated	1	1	0	cg04167854
AC055874.1	hypermethylated	1	1	0	cg02186782
AC061708.1	hypermethylated	4	4	0	cg07139301,cg14777768,cg24302235,cg25203962
AC068189.1	hypermethylated	2	2	0	cg17495087,cg22234712
AC068205.2	hypermethylated	7	7	0	cg01939477,cg05376374,cg14416371,cg14944647,cg15556502,cg16389399,cg16407471
AC068722.1	hypermethylated	1	1	0	cg24381412
AC069368.1	hypermethylated	2	2	0	cg03051384,cg13941978
AC072026.2	hypermethylated	2	2	0	cg00193200,cg18423935
AC073050.1	hypermethylated	1	1	0	cg11991058
AC073082.1	hypermethylated	1	1	0	cg00209038
AC073288.2	hypermethylated	2	2	0	cg11145160,cg13879776
AC073343.2	hypermethylated	3	3	0	cg01447112,cg05732750,cg26503073
AC073548.2	hypermethylated	1	1	0	cg22123464
AC074099.1	hypermethylated	4	4	0	cg02683759,cg11856078,cg14471364,cg20998319
AC074135.2	hypermethylated	2	2	0	cg06496344,cg27105390
AC076968.2	hypermethylated	1	1	0	cg14950169
AC078909.1	hypermethylated	1	1	0	cg13800209
AC079154.1	hypermethylated	4	4	0	cg03696599,cg08523865,cg13358636,cg18582824
AC079313.1	hypermethylated	1	1	0	cg03826594
AC079313.2	hypermethylated	1	1	0	cg03826594
AC079385.1	hypermethylated	3	3	0	cg00379648,cg10111292,cg12566756
AC079594.1	hypermethylated	1	1	0	cg15618978
AC079779.2	hypermethylated	1	1	0	cg18208842
AC079949.1	hypermethylated	1	1	0	cg02072400
AC079949.2	hypermethylated	1	1	0	cg02072400
AC079949.3	hypermethylated	1	1	0	cg02072400
AC079949.5	hypermethylated	1	1	0	cg02072400
AC079950.1	hypermethylated	2	2	0	cg04923020,cg14239655
AC084864.1	hypermethylated	4	4	0	cg01390574,cg06314333,cg15261247,cg19776616
AC084879.1	hypermethylated	1	1	0	cg17148876
AC087286.2	hypermethylated	1	1	0	cg16085649
AC087564.1	hypermethylated	7	7	0	cg00582524,cg01146232,cg01851378,cg03356595,cg04698114,cg06232807,cg09016242
AC090001.1	hypermethylated	1	1	0	cg08113245
AC090136.3	hypermethylated	1	1	0	cg16510548
AC090152.1	hypermethylated	1	1	0	cg24158594
AC090197.1	hypermethylated	1	1	0	cg09535960
AC090340.1	hypermethylated	3	3	0	cg13633270,cg15222899,cg16061498
AC090515.4	hypermethylated	1	1	0	cg21820656
AC090707.2	hypermethylated	4	4	0	cg01642521,cg02027945,cg19859290,cg27142536
AC090826.1	hypermethylated	1	1	0	cg09490603
AC090877.2	hypermethylated	2	2	0	cg08495115,cg21296230
AC091076.1	hypermethylated	5	5	0	cg00688447,cg02541778,cg06616729,cg06798106,cg15427886
AC091133.3	hypermethylated	1	1	0	cg02745847
AC091138.1	hypermethylated	7	7	0	cg03524083,cg06544405,cg18448581,cg18651870,cg23883696,cg24863335,cg26186727
AC091179.1	hypermethylated	1	1	0	cg01388649
AC091179.3	hypermethylated	3	3	0	cg12374721,cg20945566,cg27170782
AC091179.4	hypermethylated	3	3	0	cg12374721,cg20945566,cg27170782
AC091959.1	hypermethylated	6	6	0	cg01142710,cg05781504,cg07353303,cg18274480,cg21214293,cg23174616
AC091980.2	hypermethylated	5	5	0	cg02743222,cg25720804,cg25942450,cg26517714,cg26844246
AC092053.2	hypermethylated	1	1	0	cg02254461
AC092053.3	hypermethylated	1	1	0	cg02254461
AC092153.1	hypermethylated	1	1	0	cg05233373
AC092335.1	hypermethylated	3	3	0	cg12456714,cg18325622,cg23065934
AC092535.4	hypermethylated	1	1	0	cg23462514
AC092574.2	hypermethylated	3	3	0	cg06594404,cg08668316,cg16142855
AC092675.1	hypermethylated	2	2	0	cg19370054,cg21488538
AC092675.2	hypermethylated	2	2	0	cg19370054,cg21488538
AC092805.1	hypermethylated	6	6	0	cg11823511,cg12656020,cg15452970,cg24453699,cg24884703,cg26568372
AC092809.3	hypermethylated	2	2	0	cg10502231,cg17239057
AC092810.2	hypermethylated	1	1	0	cg11379081
AC092957.1	hypermethylated	4	4	0	cg02253760,cg08462988,cg18252903,cg26398467
AC093702.1	hypermethylated	1	1	0	cg18623980
AC093765.3	hypermethylated	1	1	0	cg21399832
AC093849.2	hypermethylated	1	1	0	cg16509851
AC096667.1	hypermethylated	1	1	0	cg15577595
AC096677.1	hypermethylated	1	1	0	cg11145461
AC098484.3	hypermethylated	3	3	0	cg13781744,cg19254906,cg27232866
AC098595.1	hypermethylated	1	1	0	cg26133769
AC098969.2	hypermethylated	1	1	0	cg23477460
AC099522.1	hypermethylated	2	2	0	cg00177388,cg09142313
AC099671.1	hypermethylated	1	1	0	cg22624907
AC099786.1	hypermethylated	3	3	0	cg03326762,cg13478928,cg22694818
AC099786.2	hypermethylated	3	3	0	cg03326762,cg13478928,cg22694818
AC100858.2	hypermethylated	1	1	0	cg07471614
AC100860.1	hypermethylated	1	1	0	cg12170191
AC103702.2	hypermethylated	2	2	0	cg00267596,cg22471726
AC103796.1	hypermethylated	4	4	0	cg01583131,cg11718030,cg16257091,cg26949694
AC103876.1	hypermethylated	5	5	0	cg06523224,cg09180848,cg18952647,cg26429925,cg26654798
AC104088.1	hypermethylated	1	1	0	cg26470101
AC104088.3	hypermethylated	1	1	0	cg26470101
AC104123.1	hypermethylated	1	1	0	cg00637687
AC104581.2	hypermethylated	1	1	0	cg23365801
AC104667.1	hypermethylated	1	1	0	cg18141622
AC105285.1	hypermethylated	1	1	0	cg11470941
AC105383.1	hypermethylated	1	1	0	cg10196720
AC105389.1	hypermethylated	1	1	0	cg00881585
AC106873.8	hypermethylated	2	2	0	cg00764217,cg15286094
AC107373.1	hypermethylated	1	1	0	cg03533519
AC107373.3	hypermethylated	1	1	0	cg03533519
AC107398.5	hypermethylated	1	1	0	cg26383193
AC108025.1	hypermethylated	2	2	0	cg07065111,cg08526991
AC108050.1	hypermethylated	1	1	0	cg25349276
AC108673.1	hypermethylated	1	1	0	cg08425203
AC110491.3	hypermethylated	1	1	0	cg14732969
AC111149.1	hypermethylated	1	1	0	cg20982046
AC111182.1	hypermethylated	1	1	0	cg02320862
AC111182.2	hypermethylated	2	2	0	cg12858577,cg18241962
AC112487.1	hypermethylated	1	1	0	cg23198707
AC112722.1	hypermethylated	1	1	0	cg15990090
AC113194.1	hypermethylated	3	3	0	cg03348397,cg12070159,cg24645214
AC114971.1	hypermethylated	5	5	0	cg07189332,cg10830145,cg12436377,cg13672078,cg18344930
AC116317.2	hypermethylated	2	2	0	cg06424065,cg23893898
AC116362.1	hypermethylated	1	1	0	cg22592160
AC121761.2	hypermethylated	2	2	0	cg21087137,cg24234651
AC122707.1	hypermethylated	2	2	0	cg24813736,cg27615388
AC123768.4	hypermethylated	2	2	0	cg12134633,cg15787039
AC124301.1	hypermethylated	1	1	0	cg12516359
AC126283.2	hypermethylated	1	1	0	cg00382138
AC127496.3	hypermethylated	1	1	0	cg16438182
AC129492.3	hypermethylated	1	1	0	cg04658021
AC129803.1	hypermethylated	1	1	0	cg09439920
AC130466.1	hypermethylated	4	4	0	cg03713642,cg08214995,cg09191731,cg16399049
AC133637.1	hypermethylated	1	1	0	cg03951603
AC133785.1	hypermethylated	1	1	0	cg08901662
AC135584.1	hypermethylated	2	2	0	cg10906284,cg26727693
AC136297.1	hypermethylated	1	1	0	cg01097384
AC136475.1	hypermethylated	1	1	0	cg20008734
AC136475.4	hypermethylated	1	1	0	cg20008734
AC138430.1	hypermethylated	2	2	0	cg01297721,cg22694191
AC138647.1	hypermethylated	1	1	0	cg18343437
AC139491.5	hypermethylated	1	1	0	cg16646024
AC145098.1	hypermethylated	1	1	0	cg15225325
AC145676.1	hypermethylated	2	2	0	cg09630706,cg26440261
AC242426.2	hypermethylated	1	1	0	cg05774978
AC243547.3	hypermethylated	1	1	0	cg04846710
AC243773.1	hypermethylated	4	4	0	cg10689404,cg14754787,cg19760241,cg20950167
AC244517.10	hypermethylated	3	3	0	cg11286063,cg17514558,cg18661205
AC244517.11	hypermethylated	3	3	0	cg11286063,cg17514558,cg18661205
AC244517.5	hypermethylated	1	1	0	cg06883126
AC244517.9	hypermethylated	1	1	0	cg06883126
AC245100.1	hypermethylated	3	3	0	cg18140268,cg23206461,cg25200152
AC245100.5	hypermethylated	1	1	0	cg25200152
ACHE	hypermethylated	1	1	0	cg04156293
ACOT11	hypermethylated	1	1	0	cg10266490
ACOT7	hypermethylated	1	1	0	cg10976772
ACOX3	hypermethylated	2	2	0	cg18631798,cg25599924
ACSS1	hypermethylated	1	1	0	cg01116137
ACTA1	hypermethylated	1	1	0	cg11589139
ACTA2	hypermethylated	1	1	0	cg26478401
ACTL6B	hypermethylated	3	3	0	cg08572611,cg24471254,cg26990587
ACTN3	hypermethylated	1	1	0	cg05475524
ACVR1	hypermethylated	1	1	0	cg09499849
ACVRL1	hypermethylated	2	2	0	cg07170824,cg12193731
AD000090.1	hypermethylated	2	2	0	cg02770054,cg23368787
ADA2	hypermethylated	2	2	0	cg21144941,cg22910462
ADAM19	hypermethylated	1	1	0	cg13667243
ADAM5	hypermethylated	5	5	0	cg07387286,cg10327428,cg11199639,cg14742937,cg19659741
