gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
ABCC9	hypermethylated	5	5	0	cg06951626,cg07780543,cg08530237,cg14556896,cg21485303
AC002472.1	hypermethylated	2	2	0	cg05684406,cg24333469
AC003006.1	hypermethylated	11	11	0	cg01268824,cg03234186,cg08048222,cg08668790,cg11294513,cg12074025,cg12506930,cg21790626,cg26465391,cg27049766,cg27324426
AC003986.1	hypermethylated	5	5	0	cg08814405,cg10477621,cg23536473,cg24624901,cg25691167
AC003986.2	hypermethylated	1	1	0	cg24496841
AC004079.1	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.2	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.4	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.5	hypermethylated	2	2	0	cg00106345,cg17485838
AC004080.1	hypermethylated	1	1	0	cg15564098
AC004080.3	hypermethylated	4	4	0	cg01381846,cg12600174,cg25999578,cg26521404
AC004828.2	hypermethylated	1	1	0	cg05111779
AC004837.1	hypermethylated	1	1	0	cg27071152
AC004837.3	hypermethylated	1	1	0	cg27071152
AC005586.1	hypermethylated	1	1	0	cg27494647
AC005609.1	hypermethylated	2	2	0	cg02051771,cg19876814
AC005609.5	hypermethylated	4	4	0	cg02004851,cg06282446,cg11095383,cg16987900
AC005622.1	hypermethylated	1	1	0	cg09489306
AC006115.2	hypermethylated	2	2	0	cg06585566,cg08158952
AC007040.2	hypermethylated	1	1	0	cg04751811
AC007614.1	hypermethylated	1	1	0	cg08464190
AC008014.1	hypermethylated	1	1	0	cg11146691
AC008060.2	hypermethylated	1	1	0	cg01198033
AC008060.3	hypermethylated	2	2	0	cg16987754,cg20183619
AC008397.2	hypermethylated	1	1	0	cg15215348
AC008525.1	hypermethylated	3	3	0	cg01764252,cg04970570,cg08850461
AC008543.1	hypermethylated	1	1	0	cg00777011
AC008567.2	hypermethylated	2	2	0	cg05221167,cg19254119
AC008695.1	hypermethylated	1	1	0	cg17817047
AC008758.1	hypermethylated	3	3	0	cg08411068,cg19926444,cg22637867
AC008875.2	hypermethylated	2	2	0	cg14979301,cg24676817
AC008875.3	hypermethylated	1	1	0	cg14979301
AC008892.1	hypermethylated	1	1	0	cg24729879
AC008945.2	hypermethylated	1	1	0	cg08626131
AC009403.2	hypermethylated	1	1	0	cg01198033
AC009487.2	hypermethylated	3	3	0	cg01419831,cg09019936,cg23161999
AC009531.1	hypermethylated	1	1	0	cg08732352
AC010210.1	hypermethylated	1	1	0	cg19962116
AC010327.2	hypermethylated	1	1	0	cg18417954
AC010327.4	hypermethylated	1	1	0	cg18417954
AC010332.3	hypermethylated	1	1	0	cg26928418
AC010422.6	hypermethylated	1	1	0	cg24932585
AC010457.1	hypermethylated	1	1	0	cg25224048
AC010478.1	hypermethylated	3	3	0	cg04068980,cg05501996,cg25339054
AC010519.1	hypermethylated	1	1	0	cg09243824
AC010907.1	hypermethylated	1	1	0	cg11857704
AC011239.2	hypermethylated	3	3	0	cg02338778,cg14067761,cg17419888
AC011396.2	hypermethylated	1	1	0	cg26836696
AC012349.1	hypermethylated	3	3	0	cg04127342,cg04612444,cg12877723
AC012354.7	hypermethylated	2	2	0	cg03714619,cg24981593
AC012354.9	hypermethylated	1	1	0	cg18969232
AC012531.7	hypermethylated	1	1	0	cg10641615
AC012574.1	hypermethylated	4	4	0	cg09618933,cg13021619,cg14428146,cg15854847
AC012574.2	hypermethylated	1	1	0	cg09618933
AC012618.3	hypermethylated	1	1	0	cg07379055
AC016931.1	hypermethylated	1	1	0	cg10791959
AC018563.1	hypermethylated	1	1	0	cg25718467
AC021594.1	hypermethylated	1	1	0	cg17039236
AC022031.2	hypermethylated	2	2	0	cg07519816,cg22232327
AC022154.1	hypermethylated	2	2	0	cg01597066,cg11376305
AC024563.1	hypermethylated	1	1	0	cg22340508
AC024563.2	hypermethylated	1	1	0	cg22340508
AC025048.1	hypermethylated	2	2	0	cg20370678,cg21158087
AC026316.4	hypermethylated	2	2	0	cg05937737,cg21884231
AC055788.2	hypermethylated	1	1	0	cg22052659
AC061709.2	hypermethylated	1	1	0	cg09527126
AC068787.4	hypermethylated	3	3	0	cg00812438,cg04569082,cg16065021
AC069368.1	hypermethylated	1	1	0	cg03051384
AC072026.2	hypermethylated	2	2	0	cg00193200,cg18423935
AC074099.1	hypermethylated	2	2	0	cg02683759,cg20998319
AC079154.1	hypermethylated	1	1	0	cg13358636
AC083870.1	hypermethylated	1	1	0	cg18075666
AC084879.1	hypermethylated	1	1	0	cg17148876
AC087564.1	hypermethylated	1	1	0	cg01851378
AC090340.1	hypermethylated	3	3	0	cg13633270,cg15222899,cg16061498
AC090386.1	hypermethylated	1	1	0	cg05649108
AC091076.1	hypermethylated	2	2	0	cg02541778,cg06616729
AC091138.1	hypermethylated	2	2	0	cg18651870,cg21922574
AC091179.3	hypermethylated	3	3	0	cg12374721,cg20945566,cg27170782
AC091179.4	hypermethylated	3	3	0	cg12374721,cg20945566,cg27170782
AC092335.1	hypermethylated	6	6	0	cg01791874,cg16150752,cg17712694,cg18325622,cg21901718,cg23065934
AC092535.4	hypermethylated	1	1	0	cg23462514
AC092574.2	hypermethylated	3	3	0	cg06594404,cg08668316,cg16142855
AC092675.1	hypermethylated	1	1	0	cg21488538
AC092675.2	hypermethylated	1	1	0	cg21488538
AC092805.1	hypermethylated	4	4	0	cg12656020,cg14795752,cg24884703,cg26568372
AC092809.3	hypermethylated	2	2	0	cg10502231,cg17239057
AC092810.2	hypermethylated	1	1	0	cg00563824
AC092957.1	hypermethylated	5	5	0	cg02253760,cg08522426,cg12989851,cg19112895,cg25637894
AC093849.2	hypermethylated	1	1	0	cg16509851
AC097634.4	hypermethylated	1	1	0	cg04794662
AC099522.1	hypermethylated	1	1	0	cg09142313
AC099786.1	hypermethylated	6	6	0	cg03326762,cg09222749,cg13478928,cg22694818,cg23845450,cg26688527
AC099786.2	hypermethylated	4	4	0	cg03326762,cg13478928,cg22694818,cg23845450
AC103702.2	hypermethylated	1	1	0	cg22471726
AC105389.1	hypermethylated	3	3	0	cg00516513,cg09290600,cg25950325
AC107398.5	hypermethylated	1	1	0	cg26383193
AC116317.2	hypermethylated	2	2	0	cg06424065,cg11115235
AC122707.1	hypermethylated	1	1	0	cg27615388
AC123768.4	hypermethylated	1	1	0	cg12134633
AC133637.1	hypermethylated	1	1	0	cg03951603
AC138647.1	hypermethylated	1	1	0	cg18343437
AC243773.1	hypermethylated	2	2	0	cg19760241,cg20950167
AC244517.10	hypermethylated	10	10	0	cg03572772,cg04511041,cg10553103,cg10757144,cg11286063,cg17514558,cg18661205,cg21105916,cg22732749,cg26380443
AC244517.11	hypermethylated	13	13	0	cg03572772,cg04511041,cg09178190,cg10553103,cg10757144,cg11286063,cg17514558,cg18661205,cg21105916,cg21777188,cg22732749,cg25026992,cg26380443
AC244517.2	hypermethylated	11	11	0	cg06048354,cg07129523,cg09178190,cg09782097,cg17288142,cg18021368,cg19568544,cg21777188,cg24583624,cg24818200,cg25026992
AC244517.5	hypermethylated	1	1	0	cg06883126
AC244517.9	hypermethylated	1	1	0	cg06883126
AC245100.1	hypermethylated	2	2	0	cg18140268,cg25200152
AC245100.5	hypermethylated	1	1	0	cg25200152
ACOX3	hypermethylated	1	1	0	cg18631798
ACTA1	hypermethylated	2	2	0	cg04568492,cg11589139
ADAM19	hypermethylated	1	1	0	cg13667243
ADAM5	hypermethylated	4	4	0	cg07387286,cg11199639,cg14742937,cg19659741
ADAMTS20	hypermethylated	1	1	0	cg19619405
ADGRA1	hypermethylated	1	1	0	cg23474501
ADGRA1-AS1	hypermethylated	1	1	0	cg23474501
